dataset,condition,split,num_rows,num_image_clusters,risk,risk_label,method,method_label,aurc,oracle_aurc,random_aurc,excess_aurc,normalized_aurc,numerical_reference,absolute_error_mean,absolute_error_median,absolute_error_p95,absolute_error_max,spearman_rho,kendall_tau_b,exact_match_fraction
fives,clipseg-general,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m8,Dice-M8,0.576886910455,0.374604153783,0.512490338754,0.202282756671,1.46702700285,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m32,Dice-M32,0.572505592438,0.374604153783,0.512490338754,0.197901438655,1.43525211534,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m2,nHD-M2,0.536440287272,0.374604153783,0.512490338754,0.161836133488,1.17369360479,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m8,nHD-M8,0.515503126975,0.374604153783,0.512490338754,0.140898973191,1.02184981926,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m32,nHD-M32,0.519520058352,0.374604153783,0.512490338754,0.144915904568,1.05098204435,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd95_m2,nHD95-M2,0.536184026773,0.374604153783,0.512490338754,0.16157987299,1.17183511187,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd95_m8,nHD95-M8,0.513094314023,0.374604153783,0.512490338754,0.13849016024,1.00438024498,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd95_m32,nHD95-M32,0.515392770904,0.374604153783,0.512490338754,0.140788617121,1.02104947752,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_sdc,SDC,0.368339157027,0.311300774987,0.457304074569,0.05703838204,0.390665020608,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_mean_max_probability,Mean max probability,0.488997397891,0.311300774987,0.457304074569,0.177696622904,1.21707265119,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_negative_entropy,Negative entropy,0.480634162272,0.311300774987,0.457304074569,0.169333387285,1.15979150999,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_dice_exact,Dice-Exact,0.526992686769,0.311300774987,0.457304074569,0.215691911782,1.47730847453,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_qfr_entropy,QFR-Entropy,0.509410244872,0.311300774987,0.457304074569,0.198109469885,1.3568835119,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_plm10_entropy,PLM-10/PLA-10-Entropy,0.616444710651,0.311300774987,0.457304074569,0.305143935664,2.08997972332,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_mmmc_entropy,MMMC-Entropy,0.462981068873,0.311300774987,0.457304074569,0.151680293886,1.03888264389,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_foreground_entropy,Foreground entropy,0.408997788388,0.311300774987,0.457304074569,0.097697013401,0.669142503498,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_dice_m2,Dice-M2,0.494047489429,0.311300774987,0.457304074569,0.182746714443,1.25166153756,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_dice_m8,Dice-M8,0.529195893536,0.311300774987,0.457304074569,0.217895118549,1.49239859081,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_dice_m32,Dice-M32,0.524379854256,0.311300774987,0.457304074569,0.21307907927,1.45941276588,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd_m2,nHD-M2,0.483378112178,0.311300774987,0.457304074569,0.172077337191,1.17858526269,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd_m8,nHD-M8,0.460445018531,0.311300774987,0.457304074569,0.149144243544,1.02151282862,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd_m32,nHD-M32,0.46488139474,0.311300774987,0.457304074569,0.153580619753,1.05189828034,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd95_m2,nHD95-M2,0.48313076628,0.311300774987,0.457304074569,0.171829991293,1.17689115099,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd95_m8,nHD95-M8,0.45787773525,0.311300774987,0.457304074569,0.146576960263,1.00392909395,,,,,,,,
fives,clipseg-general,test,200,200,risk_nhd95,Normalized penalized HD95 risk,confidence_nhd95_m32,nHD95-M32,0.460433598416,0.311300774987,0.457304074569,0.149132823429,1.02143461043,,,,,,,,
fives,clipseg-target,test,200,200,risk_dice,Dice risk,confidence_sdc,SDC,0.821997839322,0.817972654008,0.875340461911,0.00402518531426,0.0701645306215,,,,,,,,
