dataset,condition,split,num_rows,num_image_clusters,risk,risk_label,method,method_label,aurc,oracle_aurc,random_aurc,excess_aurc,normalized_aurc,numerical_reference,absolute_error_mean,absolute_error_median,absolute_error_p95,absolute_error_max,spearman_rho,kendall_tau_b,exact_match_fraction
duts,deeplabv3-target,test,5019,5019,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m2,Dice-M2,0.114129594194,0.0448006136615,0.128847701043,0.0693289805328,0.824882606796,,,,,,,,
duts,deeplabv3-target,test,5019,5019,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m8,Dice-M8,0.096769539744,0.0448006136615,0.128847701043,0.0519689260825,0.618331077277,,,,,,,,
duts,deeplabv3-target,test,5019,5019,risk_nhd,Normalized penalized Hausdorff risk,confidence_dice_m32,Dice-M32,0.0894973614839,0.0448006136615,0.128847701043,0.0446967478225,0.531806029395,,,,,,,,
duts,deeplabv3-target,test,5019,5019,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m2,nHD-M2,0.0942444551626,0.0448006136615,0.128847701043,0.0494438415011,0.588287387959,,,,,,,,
duts,deeplabv3-target,test,5019,5019,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m8,nHD-M8,0.0759941039417,0.0448006136615,0.128847701043,0.0311934902803,0.371143025322,,,,,,,,
duts,deeplabv3-target,test,5019,5019,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd_m32,nHD-M32,0.0683235542995,0.0448006136615,0.128847701043,0.023522940638,0.279878117981,,,,,,,,
duts,deeplabv3-target,test,5019,5019,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd95_m2,nHD95-M2,0.096731058483,0.0448006136615,0.128847701043,0.0519304448215,0.617873223683,,,,,,,,
duts,deeplabv3-target,test,5019,5019,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd95_m8,nHD95-M8,0.0781170694572,0.0448006136615,0.128847701043,0.0333164557957,0.396402264894,,,,,,,,
duts,deeplabv3-target,test,5019,5019,risk_nhd,Normalized penalized Hausdorff risk,confidence_nhd95_m32,nHD95-M32,0.070185857124,0.0448006136615,0.128847701043,0.0253852434625,0.302035968805,,,,,,,,
duts,deeplabv3-target,test,5019,5019,risk_nhd95,Normalized penalized HD95 risk,confidence_sdc,SDC,0.0519941297807,0.0217529929471,0.0899905826291,0.0302411368336,0.443174165068,,,,,,,,
